PROD_EST,COBERTURA,ANIO,Estado,Industria,VAL_USD,ESTATUS_CIFRA,ESTATUS
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",207782,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Industria de la madera,36647,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Industria del papel,90564,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Impresión e industrias conexas,101996,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Fabricación de productos derivados del petróleo y del carbón,588,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Industria química,52135,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Industria del plástico y del hule,286983,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Fabricación de productos a base de minerales no metálicos,130730,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Industrias metálicas básicas,313569,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Fabricación de productos metálicos,400880,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Fabricación de maquinaria y equipo,517593,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",11954650,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",3338890,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Fabricación de equipo de transporte,7561470,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,"Fabricación de muebles, colchones y persianas",64804,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Otras industrias manufactureras,2200496,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Subsectores no especificados,0,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Industria alimentaria,238162,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Industria de las bebidas y del tabaco,76449,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Fabricación de insumos textiles y acabado de textiles,47282,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,"Fabricación de productos textiles, excepto prendas de vestir",13759,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Fabricación de prendas de vestir,175405,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",2608,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Industria del papel,11162,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Impresión e industrias conexas,17009,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Fabricación de productos derivados del petróleo y del carbón,928,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Industria química,1222791,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Industria del plástico y del hule,87926,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Fabricación de productos a base de minerales no metálicos,60144,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Industrias metálicas básicas,11422,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Fabricación de productos metálicos,127742,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Fabricación de maquinaria y equipo,42524,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",59681,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",213253,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Fabricación de equipo de transporte,234112,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,"Fabricación de muebles, colchones y persianas",16351,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Ciudad de México,Otras industrias manufactureras,54506,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Durango,Subsectores no especificados,52420,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Durango,Industria alimentaria,12043,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Durango,Fabricación de prendas de vestir,458195,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Durango,Industria de la madera,42837,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Durango,Industria del plástico y del hule,3663,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Durango,Fabricación de productos a base de minerales no metálicos,42516,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Durango,Industrias metálicas básicas,22087,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Durango,Fabricación de productos metálicos,24605,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Durango,Fabricación de maquinaria y equipo,67303,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Durango,Fabricación de equipo de transporte,150571,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Durango,"Fabricación de muebles, colchones y persianas",2464,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Subsectores no especificados,346564,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Industria alimentaria,335731,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Fabricación de insumos textiles y acabado de textiles,38981,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Fabricación de prendas de vestir,81043,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",275773,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Industria del papel,2443,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Impresión e industrias conexas,10117,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Industria química,185075,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Industria del plástico y del hule,94237,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Fabricación de productos a base de minerales no metálicos,21283,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Industrias metálicas básicas,209436,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Fabricación de productos metálicos,61497,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Fabricación de maquinaria y equipo,3246,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",180057,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Fabricación de equipo de transporte,4566359,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,"Fabricación de muebles, colchones y persianas",11814,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guanajuato,Otras industrias manufactureras,1594,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guerrero,Subsectores no especificados,135770,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Guerrero,Fabricación de productos a base de minerales no metálicos,6348,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Hidalgo,Subsectores no especificados,485848,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Hidalgo,Industria alimentaria,21587,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Hidalgo,Fabricación de insumos textiles y acabado de textiles,60783,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Hidalgo,Fabricación de prendas de vestir,98345,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Hidalgo,Industria del papel,231,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Hidalgo,Industria química,5980,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Hidalgo,Industria del plástico y del hule,39704,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Hidalgo,Fabricación de productos a base de minerales no metálicos,23045,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Hidalgo,Industrias metálicas básicas,26814,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Hidalgo,Fabricación de maquinaria y equipo,33810,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Hidalgo,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",30208,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Hidalgo,Fabricación de equipo de transporte,464490,Disponible,Cifras Revisadas.
