Year,Estado,Subindustria,USD
2011,Ciudad de Mexico,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",47525
2011,Ciudad de Mexico,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",241974
2011,Ciudad de Mexico,Fabricacion de equipo de transporte,197018
2011,Ciudad de Mexico,"Fabricacion de muebles, colchones y persianas",8480
2011,Ciudad de Mexico,Otras industrias manufactureras,55553
2011,Durango,Subsectores no especificados,30893
2011,Durango,"Mineria de minerales metalicos y no metalicos, excepto petroleo y gas",487340
2011,Durango,Industria alimentaria,33261
2011,Durango,Fabricacion de prendas de vestir,139265
2011,Durango,Industria de la madera,39518
2011,Durango,Industria del plastico y del hule,131251
2011,Durango,Fabricacion de productos a base de minerales no metalicos,17748
2011,Durango,Industrias metalicas basicas,106810
2011,Durango,Fabricacion de productos metalicos,26327
2011,Durango,Fabricacion de maquinaria y equipo,113391
2011,Durango,Fabricacion de equipo de transporte,163794
2011,Durango,"Fabricacion de muebles, colchones y persianas",113324
2011,Guanajuato,Subsectores no especificados,539889
2011,Guanajuato,Industria alimentaria,503178
2011,Guanajuato,Industria de las bebidas y del tabaco,3745
2011,Guanajuato,Fabricacion de insumos textiles y acabado de textiles,36182
2011,Guanajuato,Fabricacion de prendas de vestir,104578
2011,Guanajuato,"Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos",449456
2011,Guanajuato,Industria del papel,2366
2011,Guanajuato,Impresion e industrias conexas,32989
2011,Guanajuato,Industria quimica,425606
2011,Guanajuato,Industria del plastico y del hule,293443
2011,Guanajuato,Fabricacion de productos a base de minerales no metalicos,18580
2011,Guanajuato,Industrias metalicas basicas,519821
2011,Guanajuato,Fabricacion de productos metalicos,224920
2011,Guanajuato,Fabricacion de maquinaria y equipo,10508
2011,Guanajuato,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",109894
2011,Guanajuato,Fabricacion de equipo de transporte,6421236
2011,Guanajuato,Otras industrias manufactureras,4708
2011,Guerrero,Subsectores no especificados,31
2011,Guerrero,"Mineria de minerales metalicos y no metalicos, excepto petroleo y gas",674675
2011,Guerrero,Fabricacion de productos a base de minerales no metalicos,3972
2011,Guerrero,Otras industrias manufactureras,1368
2011,Hidalgo,Subsectores no especificados,3814
2011,Hidalgo,Industria alimentaria,18425
2011,Hidalgo,Fabricacion de insumos textiles y acabado de textiles,85427
